Time	Node	Type	Packets	
126	1	CacheMisses	0
126	2	CacheHits	0
126	2	CacheMisses	0
127	0	CacheHits	0
127	0	CacheMisses	68
127	1	CacheHits	0
127	1	CacheMisses	68
127	2	CacheHits	1
127	2	CacheMisses	69
128	0	CacheHits	0
128	0	CacheMisses	0
128	1	CacheHits	0
128	1	CacheMisses	0
128	2	CacheHits	0
128	2	CacheMisses	0
129	0	CacheHits	0
129	0	CacheMisses	0
129	1	CacheHits	0
129	1	CacheMisses	0
129	2	CacheHits	0
129	2	CacheMisses	0
130	0	CacheHits	0
130	0	CacheMisses	128
130	1	CacheHits	0
130	1	CacheMisses	128
130	2	CacheHits	1
130	2	CacheMisses	129
131	0	CacheHits	0
131	0	CacheMisses	0
131	1	CacheHits	0
131	1	CacheMisses	0
131	2	CacheHits	0
131	2	CacheMisses	0
132	0	CacheHits	0
132	0	CacheMisses	131
132	1	CacheHits	0
132	1	CacheMisses	131
132	2	CacheHits	1
132	2	CacheMisses	132
133	0	CacheHits	0
133	0	CacheMisses	124
133	1	CacheHits	0
133	1	CacheMisses	124
133	2	CacheHits	1
133	2	CacheMisses	125
134	0	CacheHits	0
134	0	CacheMisses	0
134	1	CacheHits	0
134	1	CacheMisses	0
134	2	CacheHits	0
134	2	CacheMisses	0
135	0	CacheHits	0
135	0	CacheMisses	61
135	1	CacheHits	0
135	1	CacheMisses	61
135	2	CacheHits	1
135	2	CacheMisses	62
136	0	CacheHits	0
136	0	CacheMisses	0
136	1	CacheHits	0
136	1	CacheMisses	0
136	2	CacheHits	0
136	2	CacheMisses	0
137	0	CacheHits	0
137	0	CacheMisses	103
137	1	CacheHits	0
137	1	CacheMisses	112
137	2	CacheHits	1
137	2	CacheMisses	121
138	0	CacheHits	0
138	0	CacheMisses	21
138	1	CacheHits	0
138	1	CacheMisses	12
138	2	CacheHits	0
138	2	CacheMisses	4
139	0	CacheHits	0
139	0	CacheMisses	0
139	1	CacheHits	0
139	1	CacheMisses	0
139	2	CacheHits	0
139	2	CacheMisses	0
140	0	CacheHits	0
140	0	CacheMisses	40
140	1	CacheHits	0
140	1	CacheMisses	40
140	2	CacheHits	1
140	2	CacheMisses	41
141	0	CacheHits	0
141	0	CacheMisses	0
141	1	CacheHits	0
141	1	CacheMisses	0
141	2	CacheHits	0
141	2	CacheMisses	0
142	0	CacheHits	0
142	0	CacheMisses	51
142	1	CacheHits	0
142	1	CacheMisses	51
142	2	CacheHits	1
142	2	CacheMisses	52
143	0	CacheHits	0
143	0	CacheMisses	0
143	1	CacheHits	0
143	1	CacheMisses	0
143	2	CacheHits	0
143	2	CacheMisses	0
144	0	CacheHits	0
144	0	CacheMisses	74
144	1	CacheHits	0
144	1	CacheMisses	74
144	2	CacheHits	1
144	2	CacheMisses	75
145	0	CacheHits	0
145	0	CacheMisses	201
145	1	CacheHits	0
145	1	CacheMisses	201
145	2	CacheHits	1
145	2	CacheMisses	202
146	0	CacheHits	0
146	0	CacheMisses	0
146	1	CacheHits	0
146	1	CacheMisses	0
146	2	CacheHits	0
146	2	CacheMisses	0
147	0	CacheHits	0
147	0	CacheMisses	95
147	1	CacheHits	0
147	1	CacheMisses	95
147	2	CacheHits	1
147	2	CacheMisses	96
148	0	CacheHits	0
148	0	CacheMisses	0
148	1	CacheHits	0
148	1	CacheMisses	0
148	2	CacheHits	0
148	2	CacheMisses	0
149	0	CacheHits	0
149	0	CacheMisses	10
149	1	CacheHits	0
149	1	CacheMisses	10
149	2	CacheHits	1
149	2	CacheMisses	16
150	0	CacheHits	0
150	0	CacheMisses	183
150	1	CacheHits	0
150	1	CacheMisses	183
150	2	CacheHits	0
150	2	CacheMisses	178
151	0	CacheHits	0
151	0	CacheMisses	0
151	1	CacheHits	0
151	1	CacheMisses	0
151	2	CacheHits	0
151	2	CacheMisses	0
152	0	CacheHits	0
152	0	CacheMisses	188
152	1	CacheHits	0
152	1	CacheMisses	188
