Time	Node	Type	Packets	
132	1	CacheHits	0
132	1	CacheMisses	304
132	2	CacheHits	1
132	2	CacheMisses	314
133	0	CacheHits	0
133	0	CacheMisses	388
133	1	CacheHits	0
133	1	CacheMisses	380
133	2	CacheHits	0
133	2	CacheMisses	371
134	0	CacheHits	0
134	0	CacheMisses	386
134	1	CacheHits	0
134	1	CacheMisses	394
134	2	CacheHits	1
134	2	CacheMisses	404
135	0	CacheHits	0
135	0	CacheMisses	244
135	1	CacheHits	0
135	1	CacheMisses	236
135	2	CacheHits	0
135	2	CacheMisses	227
136	0	CacheHits	0
136	0	CacheMisses	392
136	1	CacheHits	0
136	1	CacheMisses	392
136	2	CacheHits	1
136	2	CacheMisses	393
137	0	CacheHits	0
137	0	CacheMisses	0
137	1	CacheHits	0
137	1	CacheMisses	0
137	2	CacheHits	0
137	2	CacheMisses	0
138	0	CacheHits	0
138	0	CacheMisses	79
138	1	CacheHits	0
138	1	CacheMisses	88
138	2	CacheHits	1
138	2	CacheMisses	97
139	0	CacheHits	0
139	0	CacheMisses	574
139	1	CacheHits	0
139	1	CacheMisses	565
139	2	CacheHits	0
139	2	CacheMisses	557
140	0	CacheHits	0
140	0	CacheMisses	177
140	1	CacheHits	0
140	1	CacheMisses	177
140	2	CacheHits	1
140	2	CacheMisses	178
141	0	CacheHits	0
141	0	CacheMisses	0
141	1	CacheHits	0
141	1	CacheMisses	0
141	2	CacheHits	1
141	2	CacheMisses	6
142	0	CacheHits	0
142	0	CacheMisses	275
142	1	CacheHits	0
142	1	CacheMisses	275
142	2	CacheHits	0
142	2	CacheMisses	270
143	0	CacheHits	0
143	0	CacheMisses	0
143	1	CacheHits	0
143	1	CacheMisses	0
143	2	CacheHits	0
143	2	CacheMisses	0
144	0	CacheHits	0
144	0	CacheMisses	421
144	1	CacheHits	0
144	1	CacheMisses	421
144	2	CacheHits	1
144	2	CacheMisses	422
145	0	CacheHits	0
145	0	CacheMisses	8
145	1	CacheHits	0
145	1	CacheMisses	10
145	2	CacheHits	1
145	2	CacheMisses	11
146	0	CacheHits	0
146	0	CacheMisses	809
146	1	CacheHits	0
146	1	CacheMisses	815
146	2	CacheHits	0
146	2	CacheMisses	824
147	0	CacheHits	0
147	0	CacheMisses	69
147	1	CacheHits	0
147	1	CacheMisses	61
147	2	CacheHits	0
147	2	CacheMisses	52
148	0	CacheHits	0
148	0	CacheMisses	505
148	1	CacheHits	0
148	1	CacheMisses	505
148	2	CacheHits	1
148	2	CacheMisses	506
149	0	CacheHits	0
149	0	CacheMisses	0
149	1	CacheHits	0
149	1	CacheMisses	0
149	2	CacheHits	0
149	2	CacheMisses	0
150	0	CacheHits	0
150	0	CacheMisses	141
150	1	CacheHits	0
150	1	CacheMisses	150
150	2	CacheHits	1
150	2	CacheMisses	159
151	0	CacheHits	0
151	0	CacheMisses	686
151	1	CacheHits	0
151	1	CacheMisses	677
151	2	CacheHits	0
151	2	CacheMisses	669
152	0	CacheHits	0
152	0	CacheMisses	89
152	1	CacheHits	0
152	1	CacheMisses	97
152	2	CacheHits	1
152	2	CacheMisses	106
153	0	CacheHits	0
153	0	CacheMisses	774
153	1	CacheHits	0
153	1	CacheMisses	774
153	2	CacheHits	1
153	2	CacheMisses	776
154	0	CacheHits	0
154	0	CacheMisses	634
154	1	CacheHits	0
154	1	CacheMisses	626
154	2	CacheHits	0
